datetime,no2_avg,o3_avg,pm10_avg,pm25_avg,hour,dayofweek,month,is_weekend,is_peak,season,pm25_lag_1h,pm25_lag_3h,pm25_lag_24h,pm25_lag_168h,pm25_roll_6h,pm25_roll_24h,pm25_roll_72h,pm25_std_24h,aqi,aqi_category,is_hazardous
2016-11-09 23:00:00,186.5,10.15,208.5,478.5,23,2,11,0,0,3,444.0,370.5,509.5,300.0,369.1666666666667,398.375,385.16550925925924,140.32402332366067,493.0,Severe,1
2016-11-10 00:00:00,100.0,10.233333333333334,186.66666666666663,526.0,0,3,11,0,0,3,478.5,439.0,515.5,300.0,422.5,398.8125,391.3333333333333,140.72087794329087,158.2,Moderate,0
2016-11-10 01:00:00,91.35,10.796666666666667,180.0,554.5,1,3,11,0,0,3,526.0,444.0,530.5,300.0,468.75,399.8125,397.8969907407407,141.7786710901435,153.8,Moderate,0
2016-11-10 02:00:00,93.35,11.016666666666666,169.5,542.0,2,3,11,0,0,3,554.5,478.5,526.5,300.0,497.3333333333333,400.4583333333333,404.287037037037,142.41472785546114,146.9,Moderate,0
2016-11-10 03:00:00,94.9,10.96,163.0,554.0,3,3,11,0,0,3,542.0,526.0,560.0,81.91666666666667,516.5,400.2083333333333,410.84375,142.1274624402697,142.6,Moderate,0
2016-11-10 04:00:00,99.5,10.45,157.33333333333334,540.0,4,3,11,0,0,3,554.0,554.5,575.5,81.91666666666667,532.5,398.7291666666667,417.2060185185185,140.3980350387916,138.8,Moderate,0
2016-11-10 05:00:00,103.0,9.9,158.33333333333334,495.5,5,3,11,0,0,3,540.0,542.0,539.0,81.91666666666667,535.3333333333334,396.9166666666667,422.95023148148147,138.7799060341255,498.5,Severe,1
2016-11-10 06:00:00,104.0,9.955,169.33333333333334,406.0,6,3,11,0,0,3,495.5,554.0,495.5,81.91666666666667,515.3333333333334,393.1875,427.4513888888889,137.20928258780816,469.3,Severe,1
2016-11-10 07:00:00,123.5,11.21,180.91666666666666,341.5,7,3,11,0,1,3,406.0,540.0,483.5,81.91666666666667,479.8333333333333,387.2708333333333,422.44444444444446,136.203490599358,445.8,Severe,1
2016-11-10 08:00:00,138.0,15.466666666666669,191.25,251.0,8,3,11,0,1,3,341.5,495.5,493.5,81.91666666666667,431.3333333333333,377.1666666666667,416.18055555555554,136.97299532855186,401.5,Severe,1
2016-11-10 09:00:00,135.5,24.316666666666663,190.91666666666666,262.5,9,3,11,0,1,3,251.0,406.0,484.0,81.91666666666667,382.75,367.9375,410.0763888888889,136.9239167106734,407.1,Severe,1
2016-11-10 10:00:00,143.0,33.745000000000005,180.5,301.0,10,3,11,0,0,3,262.5,341.5,459.0,81.91666666666667,342.9166666666667,361.3541666666667,404.50694444444446,136.15140861864302,426.0,Severe,1
2016-11-10 11:00:00,139.0,42.955,165.5,332.0,11,3,11,0,0,3,301.0,251.0,423.0,81.91666666666667,315.6666666666667,357.5625,401.9791666666667,135.62610949255708,441.2,Severe,1
2016-11-10 12:00:00,153.0,49.575,155.09166666666667,318.0,12,3,11,0,0,3,332.0,262.5,286.0,81.91666666666667,301.0,358.8958333333333,401.99305555555554,135.04805740169363,434.3,Severe,1
2016-11-10 13:00:00,138.0,52.833333333333336,143.16666666666669,319.0,13,3,11,0,0,3,318.0,301.0,271.5,93.0,297.25,360.875,403.28472222222223,134.05597873568612,434.8,Severe,1
2016-11-10 14:00:00,138.0,51.516666666666666,132.26666666666668,319.0,14,3,11,0,0,3,319.0,332.0,203.0,93.0,308.5833333333333,365.7083333333333,405.4375,130.15065824105474,434.8,Severe,1
2016-11-10 15:00:00,136.0,49.46666666666667,130.26666666666668,320.0,15,3,11,0,0,3,319.0,318.0,168.0,93.0,318.1666666666667,372.0416666666667,408.0486111111111,123.647369973847,435.3,Severe,1
2016-11-10 16:00:00,127.0,39.833333333333336,133.0,291.0,16,3,11,0,0,3,320.0,319.0,161.0,93.0,316.5,377.4583333333333,410.4791666666667,116.64969079392782,421.1,Severe,1
2016-11-10 17:00:00,69.5,28.899999999999995,139.66666666666666,267.0,17,3,11,0,1,3,291.0,319.0,171.0,103.5,305.6666666666667,381.4583333333333,412.4236111111111,110.7595237505534,409.3,Severe,1
2016-11-10 18:00:00,4.43,18.674999999999997,152.33333333333334,290.0,18,3,11,0,1,3,267.0,320.0,206.0,164.0,301.0,384.9583333333333,414.0138888888889,106.20764287845405,420.6,Severe,1
2016-11-10 19:00:00,134.0,12.666666666666666,183.0,368.0,19,3,11,0,1,3,290.0,291.0,277.0,198.0,309.1666666666667,388.75,415.7708333333333,103.78259048104674,456.9,Severe,1
